Club,Position(s),Base Salary,Guaranteed Compensation,Name,id,rating,player_image,player_name,country_image,league_image,position,club,league,pace,shooting,passing,dribbling,defending,physical,limit
Nashville SC,M,"$1,637,500.00","$1,926,250.00",Hany Mukhtar,2dd6b8a0-dbe1-11ed-af20-acde48001122,72,,Hany Mukhtar,,,CAM,Nashville SC,Major League Soccer,78,65,70,75,44,63,3000
Nashville SC,M,"$1,637,500.00","$1,926,250.00",Hany Mukhtar,2dd6b8a0-dbe1-11ed-af20-acde48001122,72,,Hany Mukhtar,,,CAM,Nashville SC,Major League Soccer,78,65,70,75,44,63,3500
Nashville SC,M,"$325,000.00","$331,562.00",Alex Muyl,4a1f5e90-dbe6-11ed-af20-acde48001122,68,,Alex Muyl,,,RM,Nashville SC,Major League Soccer,78,59,59,67,58,81,3000
Nashville SC,M,"$325,000.00","$331,562.00",Alex Muyl,4a1f5e90-dbe6-11ed-af20-acde48001122,68,,Alex Muyl,,,RM,Nashville SC,Major League Soccer,78,59,59,67,58,81,3500
Columbus Crew,M,"$1,760,000.00","$1,760,000.00",Darlington Nagbe,36fecde8-dbdf-11ed-af20-acde48001122,74,,Darlington Nagbe,,,CDM,Columbus Crew,Major League Soccer,78,66,71,81,67,73,2500
Columbus Crew,M,"$1,760,000.00","$1,760,000.00",Darlington Nagbe,36fecde8-dbdf-11ed-af20-acde48001122,74,,Darlington Nagbe,,,CDM,Columbus Crew,Major League Soccer,78,66,71,81,67,73,3000
Columbus Crew,M,"$1,760,000.00","$1,760,000.00",Darlington Nagbe,36fecde8-dbdf-11ed-af20-acde48001122,74,,Darlington Nagbe,,,CDM,Columbus Crew,Major League Soccer,78,66,71,81,67,73,3500
DC United,D,"$375,000.00","$375,000.00",Andy Najar,3a4a57e6-dbe5-11ed-af20-acde48001122,69,,Andy Najar,,,RB,D.C. United,Major League Soccer,73,62,67,71,69,63,2500
DC United,D,"$375,000.00","$375,000.00",Andy Najar,3a4a57e6-dbe5-11ed-af20-acde48001122,69,,Andy Najar,,,RB,D.C. United,Major League Soccer,73,62,67,71,69,63,3000
DC United,D,"$375,000.00","$375,000.00",Andy Najar,3a4a57e6-dbe5-11ed-af20-acde48001122,69,,Andy Najar,,,RB,D.C. United,Major League Soccer,73,62,67,71,69,63,3500
Chicago Fire,M,"$200,004.00","$275,004.00",Federico Navarro,4ecae894-dbe4-11ed-af20-acde48001122,69,,Federico Navarro,,,CDM,Chicago Fire FC,Major League Soccer,72,50,63,69,67,58,3000
Chicago Fire,M,"$200,004.00","$275,004.00",Federico Navarro,4ecae894-dbe4-11ed-af20-acde48001122,69,,Federico Navarro,,,CDM,Chicago Fire FC,Major League Soccer,72,50,63,69,67,58,3500
Toronto FC,M,"$1,000,000.00","$1,026,250.00",Jonathan Osorio,1fc17f3e-dbe1-11ed-af20-acde48001122,72,,Jonathan Osorio,,,CM,Toronto FC,Major League Soccer,60,68,70,74,64,67,1500
Toronto FC,M,"$1,000,000.00","$1,026,250.00",Jonathan Osorio,1fc17f3e-dbe1-11ed-af20-acde48001122,72,,Jonathan Osorio,,,CM,Toronto FC,Major League Soccer,60,68,70,74,64,67,2000
Toronto FC,M,"$1,000,000.00","$1,026,250.00",Jonathan Osorio,1fc17f3e-dbe1-11ed-af20-acde48001122,72,,Jonathan Osorio,,,CM,Toronto FC,Major League Soccer,60,68,70,74,64,67,2500
Toronto FC,M,"$1,000,000.00","$1,026,250.00",Jonathan Osorio,1fc17f3e-dbe1-11ed-af20-acde48001122,72,,Jonathan Osorio,,,CM,Toronto FC,Major League Soccer,60,68,70,74,64,67,3000
Toronto FC,M,"$1,000,000.00","$1,026,250.00",Jonathan Osorio,1fc17f3e-dbe1-11ed-af20-acde48001122,72,,Jonathan Osorio,,,CM,Toronto FC,Major League Soccer,60,68,70,74,64,67,3500
LAFC,D,"$486,000.00","$510,000.00",Diego Palacios,0193bbce-dbe3-11ed-af20-acde48001122,70,,Diego Palacios,,,LB,LAFC,Major League Soccer,75,33,60,68,65,66,500
LAFC,D,"$486,000.00","$510,000.00",Diego Palacios,0193bbce-dbe3-11ed-af20-acde48001122,70,,Diego Palacios,,,LB,LAFC,Major League Soccer,75,33,60,68,65,66,1000
LAFC,D,"$486,000.00","$510,000.00",Diego Palacios,0193bbce-dbe3-11ed-af20-acde48001122,70,,Diego Palacios,,,LB,LAFC,Major League Soccer,75,33,60,68,65,66,1500
LAFC,D,"$486,000.00","$510,000.00",Diego Palacios,0193bbce-dbe3-11ed-af20-acde48001122,70,,Diego Palacios,,,LB,LAFC,Major League Soccer,75,33,60,68,65,66,2000
LAFC,D,"$486,000.00","$510,000.00",Diego Palacios,0193bbce-dbe3-11ed-af20-acde48001122,70,,Diego Palacios,,,LB,LAFC,Major League Soccer,75,33,60,68,65,66,2500
LAFC,D,"$486,000.00","$510,000.00",Diego Palacios,0193bbce-dbe3-11ed-af20-acde48001122,70,,Diego Palacios,,,LB,LAFC,Major League Soccer,75,33,60,68,65,66,3000
LAFC,D,"$486,000.00","$510,000.00",Diego Palacios,0193bbce-dbe3-11ed-af20-acde48001122,70,,Diego Palacios,,,LB,LAFC,Major League Soccer,75,33,60,68,65,66,3500
Portland Timbers,M,"$252,000.00","$350,000.00",Cristhian Paredes,232bc0a8-dbe6-11ed-af20-acde48001122,68,,Cristhian Paredes,,,CDM,Portland Timbers,Major League Soccer,68,62,65,64,64,69,1500
Portland Timbers,M,"$252,000.00","$350,000.00",Cristhian Paredes,232bc0a8-dbe6-11ed-af20-acde48001122,68,,Cristhian Paredes,,,CDM,Portland Timbers,Major League Soccer,68,62,65,64,64,69,2000
Portland Timbers,M,"$252,000.00","$350,000.00",Cristhian Paredes,232bc0a8-dbe6-11ed-af20-acde48001122,68,,Cristhian Paredes,,,CDM,Portland Timbers,Major League Soccer,68,62,65,64,64,69,2500
Portland Timbers,M,"$252,000.00","$350,000.00",Cristhian Paredes,232bc0a8-dbe6-11ed-af20-acde48001122,68,,Cristhian Paredes,,,CDM,Portland Timbers,Major League Soccer,68,62,65,64,64,69,3000
Portland Timbers,M,"$252,000.00","$350,000.00",Cristhian Paredes,232bc0a8-dbe6-11ed-af20-acde48001122,68,,Cristhian Paredes,,,CDM,Portland Timbers,Major League Soccer,68,62,65,64,64,69,3500
Orlando City SC,F,"$400,000.00","$400,000.00",Alexandre Pato,1ee5eec2-dbd9-11ed-af20-acde48001122,87,,Alexandre Pato,,,ST,Orlando City,Major League Soccer,91,87,80,90,40,82,1500
Orlando City SC,F,"$400,000.00","$400,000.00",Alexandre Pato,1ee5eec2-dbd9-11ed-af20-acde48001122,87,,Alexandre Pato,,,ST,Orlando City,Major League Soccer,91,87,80,90,40,82,2000
Orlando City SC,F,"$400,000.00","$400,000.00",Alexandre Pato,1ee5eec2-dbd9-11ed-af20-acde48001122,87,,Alexandre Pato,,,ST,Orlando City,Major League Soccer,91,87,80,90,40,82,2500
Orlando City SC,F,"$400,000.00","$400,000.00",Alexandre Pato,1ee5eec2-dbd9-11ed-af20-acde48001122,87,,Alexandre Pato,,,ST,Orlando City,Major League Soccer,91,87,80,90,40,82,3000
Orlando City SC,F,"$400,000.00","$400,000.00",Alexandre Pato,1ee5eec2-dbd9-11ed-af20-acde48001122,87,,Alexandre Pato,,,ST,Orlando City,Major League Soccer,91,87,80,90,40,82,3500
Inter Miami,M-F,"$3,050,000.00","$3,350,000.00",Rodolfo Pizarro,364da5be-dbde-11ed-af20-acde48001122,75,,Rodolfo Pizarro,,,CAM,Inter Miami CF,Major League Soccer,76,70,73,77,55,66,2500
Inter Miami,M-F,"$3,050,000.00","$3,350,000.00",Rodolfo Pizarro,364da5be-dbde-11ed-af20-acde48001122,75,,Rodolfo Pizarro,,,CAM,Inter Miami CF,Major League Soccer,76,70,73,77,55,66,3000
Inter Miami,M-F,"$3,050,000.00","$3,350,000.00",Rodolfo Pizarro,364da5be-dbde-11ed-af20-acde48001122,75,,Rodolfo Pizarro,,,CAM,Inter Miami CF,Major League Soccer,76,70,73,77,55,66,3500
Sporting Kansas City,F,"$2,200,000.00","$2,200,000.00",Alan Pulido,3f48485c-dbe0-11ed-af20-acde48001122,73,,Alan Pulido,,,ST,Sporting KC,Major League Soccer,75,72,66,73,37,75,2500
Sporting Kansas City,F,"$2,200,000.00","$2,200,000.00",Alan Pulido,3f48485c-dbe0-11ed-af20-acde48001122,73,,Alan Pulido,,,ST,Sporting KC,Major League Soccer,75,72,66,73,37,75,3000
Sporting Kansas City,F,"$2,200,000.00","$2,200,000.00",Alan Pulido,3f48485c-dbe0-11ed-af20-acde48001122,73,,Alan Pulido,,,ST,Sporting KC,Major League Soccer,75,72,66,73,37,75,3500
FC Dallas,M,"$786,000.00","$840,627.00",Facundo Quignon,1f2a962e-dbe0-11ed-af20-acde48001122,73,,Facundo Quignon,,,CDM,FC Dallas,Major League Soccer,66,56,68,75,70,78,1500
FC Dallas,M,"$786,000.00","$840,627.00",Facundo Quignon,1f2a962e-dbe0-11ed-af20-acde48001122,73,,Facundo Quignon,,,CDM,FC Dallas,Major League Soccer,66,56,68,75,70,78,2000
FC Dallas,M,"$786,000.00","$840,627.00",Facundo Quignon,1f2a962e-dbe0-11ed-af20-acde48001122,73,,Facundo Quignon,,,CDM,FC Dallas,Major League Soccer,66,56,68,75,70,78,2500
FC Dallas,M,"$786,000.00","$840,627.00",Facundo Quignon,1f2a962e-dbe0-11ed-af20-acde48001122,73,,Facundo Quignon,,,CDM,FC Dallas,Major League Soccer,66,56,68,75,70,78,3000
FC Dallas,M,"$786,000.00","$840,627.00",Facundo Quignon,1f2a962e-dbe0-11ed-af20-acde48001122,73,,Facundo Quignon,,,CDM,FC Dallas,Major League Soccer,66,56,68,75,70,78,3500
Houston Dynamo,F,"$600,000.00","$661,250.00",Darwin Quintero,47ecb0d8-dbe0-11ed-af20-acde48001122,73,,Darwin Quintero,,,CAM,Houston Dynamo,Major League Soccer,83,71,69,79,28,65,3000
Houston Dynamo,F,"$600,000.00","$661,250.00",Darwin Quintero,47ecb0d8-dbe0-11ed-af20-acde48001122,73,,Darwin Quintero,,,CAM,Houston Dynamo,Major League Soccer,83,71,69,79,28,65,3500
CF Montreal,F,"$800,000.00","$885,000.00",Romell Quioto,09e9681c-dbe0-11ed-af20-acde48001122,73,,Romell Quioto,,,ST,CF Montréal,Major League Soccer,82,71,70,71,24,80,500
CF Montreal,F,"$800,000.00","$885,000.00",Romell Quioto,09e9681c-dbe0-11ed-af20-acde48001122,73,,Romell Quioto,,,ST,CF Montréal,Major League Soccer,82,71,70,71,24,80,1000
CF Montreal,F,"$800,000.00","$885,000.00",Romell Quioto,09e9681c-dbe0-11ed-af20-acde48001122,73,,Romell Quioto,,,ST,CF Montréal,Major League Soccer,82,71,70,71,24,80,1500
CF Montreal,F,"$800,000.00","$885,000.00",Romell Quioto,09e9681c-dbe0-11ed-af20-acde48001122,73,,Romell Quioto,,,ST,CF Montréal,Major League Soccer,82,71,70,71,24,80,2000
CF Montreal,F,"$800,000.00","$885,000.00",Romell Quioto,09e9681c-dbe0-11ed-af20-acde48001122,73,,Romell Quioto,,,ST,CF Montréal,Major League Soccer,82,71,70,71,24,80,2500
CF Montreal,F,"$800,000.00","$885,000.00",Romell Quioto,09e9681c-dbe0-11ed-af20-acde48001122,73,,Romell Quioto,,,ST,CF Montréal,Major League Soccer,82,71,70,71,24,80,3000
CF Montreal,F,"$800,000.00","$885,000.00",Romell Quioto,09e9681c-dbe0-11ed-af20-acde48001122,73,,Romell Quioto,,,ST,CF Montréal,Major League Soccer,82,71,70,71,24,80,3500
San Jose Earthquakes,M,"$450,000.00","$450,000.00",Eric Remedi,2f1fa810-dbe2-11ed-af20-acde48001122,71,,Eric Remedi,,,CDM,SJ Earthquakes,Major League Soccer,54,50,63,64,66,83,2000
San Jose Earthquakes,M,"$450,000.00","$450,000.00",Eric Remedi,2f1fa810-dbe2-11ed-af20-acde48001122,71,,Eric Remedi,,,CDM,SJ Earthquakes,Major League Soccer,54,50,63,64,66,83,2500
San Jose Earthquakes,M,"$450,000.00","$450,000.00",Eric Remedi,2f1fa810-dbe2-11ed-af20-acde48001122,71,,Eric Remedi,,,CDM,SJ Earthquakes,Major League Soccer,54,50,63,64,66,83,3000
San Jose Earthquakes,M,"$450,000.00","$450,000.00",Eric Remedi,2f1fa810-dbe2-11ed-af20-acde48001122,71,,Eric Remedi,,,CDM,SJ Earthquakes,Major League Soccer,54,50,63,64,66,83,3500
Minnesota United,M,"$850,000.00","$1,066,910.00",Emanuel Reynoso,477fec6c-dbdd-11ed-af20-acde48001122,76,,Emanuel Reynoso,,,CAM,Minnesota United,Major League Soccer,66,65,78,79,57,67,3000
Minnesota United,M,"$850,000.00","$1,066,910.00",Emanuel Reynoso,477fec6c-dbdd-11ed-af20-acde48001122,76,,Emanuel Reynoso,,,CAM,Minnesota United,Major League Soccer,66,65,78,79,57,67,3500
Austin FC,M,"$1,500,000.00","$1,640,000.00",Alexander Ring,406b78f0-dbde-11ed-af20-acde48001122,75,,Alexander Ring,,,CDM,Austin FC,Major League Soccer,72,65,69,74,71,77,2500
Austin FC,M,"$1,500,000.00","$1,640,000.00",Alexander Ring,406b78f0-dbde-11ed-af20-acde48001122,75,,Alexander Ring,,,CDM,Austin FC,Major League Soccer,72,65,69,74,71,77,3000
Austin FC,M,"$1,500,000.00","$1,640,000.00",Alexander Ring,406b78f0-dbde-11ed-af20-acde48001122,75,,Alexander Ring,,,CDM,Austin FC,Major League Soccer,72,65,69,74,71,77,3500
